,w,corpus_w_count,p(w),"p(t,w)"
712,office,16175,0.09502464472238704,445
713,announced,4878,0.02865720043003425,65
714,moving,3781,0.022212561464936345,35
715,forward,12835,0.07540286337012907,137
716,fix,10388,0.0610272648764239,59
717,set,19900,0.11690821823650709,205
718,electing,17255,0.10136941234527286,142
719,an army,542,0.0031841333811149166,25
720,stronger,3721,0.021860074374776023,43
721,leaders,24699,0.1451013106644969,325
722,his campaign,23520,0.13817493934284658,103
723,a grassroots army,4162,0.024450854487454397,37
724,Please chip,2051,0.012049183698647038,30
725,the resources,11713,0.06881135478413103,73
726,lying,18290,0.10744981465053842,96
727,Last week,1969,0.011567451342094595,77
728,lied,1654,0.0097168941187529,63
729,brought,2270,0.013335761577732216,59
730,protests,1079,0.006338892838049806,50
731,Breonna Taylor,431,0.0025320322643183194,46
732,George Floyd,915,0.005375428124944924,76
733,stood,3228,0.01896380545062537,60
734,Black Americans,574,0.0033721264958670887,61
735,having,6866,0.04033627268401295,101
736,protest,3170,0.018623067930137058,145
737,deliver,7618,0.044754110880688994,94
738,watching,2766,0.016249654856390884,50
739,kill,2682,0.015756172930166432,121
740,likely,3195,0.018769937551037192,45
741,times,15466,0.09085942227365923,188
742,die,4596,0.027000511106280732,143
743,homelessness,1142,0.006709004282718145,48
744,thousands,11941,0.07015080572674026,99
745,advance,5704,0.0335097727045747,114
746,add,59726,0.3508773991152574,667
747,sponsor,3011,0.017688977141212203,79
748,desperately,2594,0.015239191864597958,23
749,treat,2370,0.013923240061332753,99
750,this district,5443,0.03197645386237729,30
751,accountability,3277,0.019251669907589634,73
752,the coronavirus,4551,0.02673614578866049,51
753,more information,2720,0.015979414753934638,38
754,visit,11063,0.06499274464072753,91
755,closely,1309,0.007690093350331044,28
756,our nation,8518,0.05004141723309384,162
757,our families,2648,0.015556430245742249,38
758,safe,24944,0.14654063294931824,344
759,Friends,13452,0.0790276056139444,98
760,gone,3501,0.02056762171085484,45
761,an investigation,164,0.0009634647131048826,23
762,include,4241,0.024914962489498822,111
763,threatened,1041,0.006115651014281602,47
764,prosecute,175,0.0010280873463009417,57
765,mail,156007,0.9165075579106915,1171
766,the Supreme Court,9703,0.057003037263760215,70
767,eliminate,818,0.004805573995852402,20
768,forget,2312,0.013582502540844442,54
769,resign,641,0.0037657370798794493,45
770,payment information,35502,0.20856661124786305,123
771,creating,3357,0.019721652694470064,29
772,the table,2143,0.012589663903559532,23
773,providing,3411,0.020038891075614355,35
774,the state,7048,0.041405483524165926,100
775,our efforts,13527,0.07946821447664479,43
776,learn,11939,0.07013905615706825,173
777,Emails,6206,0.0364589146922494,60
778,the best way,16702,0.09812065633096188,49
779,our supporters,3318,0.019492536085865854,28
780,focus,9325,0.05478236859575018,91
781,flipping,8216,0.04826723221262021,17
782,longer,32743,0.1923580798853242,186
783,PAC,51740,0.3039613674149184,352
784,talk,8572,0.05035865561423813,110
785,year,39817,0.23391630781522627,530
786,discuss,3369,0.01979215011250213,73
787,happening,3629,0.02131959416986353,66
788,violence,8087,0.04750938496877552,239
789,TODAY,8178,0.04804399038885201,79
790,Saturday,3756,0.02206569184403621,42
791,Unlike,1710,0.010045882069569202,38
792,my opponent,4629,0.02719437900586891,56
793,relying,15223,0.08943184955850991,38
794,replace,4388,0.025778555860391614,93
795,our team,11445,0.0672369124480816,69
796,invest,9304,0.054658998114194064,246
797,this pandemic,3427,0.020132887632990443,43
798,person,28931,0.1699634000904717,300
799,the race,4681,0.02749986781734119,33
800,kick,5054,0.029691162561171196,75
801,Nevada,1899,0.01115621640357422,17
802,our farmers,302,0.0017741850204736251,23
803,a part,10975,0.06447576357515906,132
804,the impeachment trial,178,0.001045711700808958,19
805,acquit,599,0.0035189961167672234,33
806,our democracy,6954,0.040853253749581424,72
807,uphold,901,0.005293181137240848,37
808,our Constitution,1521,0.008935547735564184,51
809,country,56934,0.3344749998531304,661
810,party,6455,0.037921736116414737,107
811,prove,21593,0.1268542289638642,160
812,wrong,10391,0.06104488923093192,85
813,happens,2207,0.012965650133063876,23
814,corruption,4042,0.023745880307133753,162
815,miss,20673,0.12144942691473924,243
816,Instagram,10691,0.06280732468173353,216
817,Support,6375,0.03745175332953431,72
818,San Francisco,731,0.0042944677151199335,27
819,his running mate,776,0.004558833032740176,20
820,excited,4819,0.02831058812470993,51
821,Having,443,0.002602529682350384,21
822,a champion,2428,0.014263977581821066,49
823,proud,22201,0.13042609814415548,290
824,Joe,28206,0.1657041810843678,218
825,representing,2198,0.012912777069539827,22
826,corporations,6088,0.035765690081600764,72
827,created,2682,0.015756172930166432,99
828,won,29977,0.1761084250289333,255
829,their crimes,30,0.00017624354508016143,30
830,Kamala,10429,0.06126813105470012,137
831,build,34203,0.20093526574589204,256
832,the ballot,7734,0.04543558592166562,51
833,date,93369,0.5485227853529865,911
834,a difference,6405,0.03762799687461447,70
835,information,55112,0.32377114188192857,281
836,Follow,9537,0.05602782298098332,96
837,authorized,31624,0.18578419565383417,190
838,the military,578,0.0033956256352111105,24
839,neighbors,4189,0.02460947367802654,40
840,government,12208,0.07171937327795369,238
841,flipped,2260,0.013277013729372162,31
842,the idea,596,0.0035013717622592072,32
843,given,3149,0.018499697448580946,64
844,Afghanistan,901,0.005293181137240848,21
845,Read,1945,0.011426456506030467,71
846,war,42617,0.25036570535604136,543
847,our streets,368,0.00216192081964998,45
848,Police,1087,0.00638589111673785,102
849,recognize,1503,0.008829801608516088,31
850,public safety,533,0.0031312603175908684,36
851,subject,1234,0.00724948448763064,33
852,security,3609,0.021202098473143423,96
853,our police,636,0.0037363631556994225,62
854,our military,685,0.004024227612663686,29
855,cops,204,0.0011984561065450977,44
856,necessary,3796,0.02230068323747643,58
857,violent crime,78,0.00045823321720841976,78
858,expanding,4177,0.024538976259994478,37
859,increase,10972,0.06445813922065104,245
860,especially,7064,0.041499480081542015,72
861,data,10084,0.05924133028627827,126
862,feel,6136,0.03604767975372902,64
863,the right,7545,0.044325251587660604,116
864,a friend,2944,0.01729536655719984,28
865,joined,3309,0.01943966302234181,73
866,holds,1926,0.011314835594146365,55
867,paying,4405,0.025878427202603704,59
868,rise,10588,0.06220222184362498,115
869,straight,3698,0.0217249543235479,24
870,suffering,1051,0.006174398862641655,35
871,integrity,1849,0.01086247716177395,28
872,speaking,2139,0.01256616476421551,51
873,return,3685,0.02164858212067983,98
874,Express Donate,5683,0.033386402223018585,46
875,Express,39900,0.23440391495661472,148
876,respond,10591,0.06221984619813299,123
877,freedom,3582,0.021043479282571276,118
878,equality,2798,0.016437647971143058,56
879,DONATE,60603,0.35602958541643415,393
880,Reserved,1360,0.007989707376967319,25
881,tax,35244,0.20705091676017365,313
882,participate,4026,0.023651883749757664,29
883,email,153089,0.8993649357592278,1140
884,spend,29297,0.17211357134044966,170
885,cover,7357,0.04322079203849159,179
886,lies,48398,0.28432783649298843,449
887,promoting,3406,0.020009517151434328,89
888,protecting,7385,0.04338528601389974,63
889,working families,7213,0.042374823022106815,36
890,waste,4313,0.02533794699769121,24
891,our shared values,487,0.0028610202151346208,22
892,Right,10256,0.06025179327807119,112
893,faces,1148,0.0067442529917341775,25
894,chaos,981,0.0057631639241212795,52
895,a war,688,0.004041851967171702,32
896,supposed,859,0.005046440174128622,30
897,turning,8294,0.048725465429828634,45
898,nationwide,6152,0.036141676311105105,105
899,release,4173,0.024515477120650456,141
900,funded,19737,0.11595062830823821,202
901,rely,40130,0.23575511546889596,261
902,grassroots donors,10225,0.06006967494815502,91
903,URL REDACTED,74377,0.43694887174757224,562
904,happy,4275,0.025114705173923006,27
905,thanks,16736,0.09832039901538606,102
906,my team,5160,0.03031388975378777,46
907,officially,4536,0.02664802401612041,32
908,proven,11410,0.0670312949788214,59
909,short,22667,0.13316374787773397,85
910,doors,5646,0.033169035184086385,85
911,this fight,8873,0.05212696584987575,52
912,the work,4164,0.024462604057126407,48
913,the way,9866,0.057960627192029095,102
914,my country,310,0.0018211832991616682,22
915,my life,1489,0.008747554620812012,18
916,a chance,4483,0.026336660419812124,34
917,votes,7950,0.04670453944624278,87
918,AOC,1854,0.010891851085953978,42
919,the line,7078,0.04158172706924609,83
920,the ones,703,0.0041299737397117835,24
921,bad,5103,0.02997902701813546,60
922,came,6954,0.040853253749581424,127
923,fund,78246,0.45967841427807704,567
924,the President,5160,0.03031388975378777,140
925,Iraq,1022,0.0060040301023975,50
926,100%,8911,0.052350207673643956,134
927,Impeachment,583,0.0034249995593911373,71
928,innocent,613,0.003601243104471299,73
929,winning,14651,0.08607147263231484,101
930,Republican,58608,0.34430938966860336,665
931,People,5772,0.033909258073423064,52
932,no place,870,0.0051110628073246815,15
933,God,2371,0.01392911484616876,82
934,lose,43093,0.2531621029379799,258
935,retake,1266,0.0074374776023828125,21
936,bless,1345,0.007901585604427238,88
937,Use,13456,0.07905110475328841,99
938,job titles,4673,0.027452869538653148,29
939,photographs,9640,0.05663292581909188,30
940,uniform,10577,0.06213759921042892,38
941,imply,17772,0.10440667610548764,102
942,endorsement,15467,0.09086529705849523,85
943,the Department of Defense,8798,0.051686356987175344,31
944,taught,832,0.004887820983556477,31
945,clearly,955,0.005610419518385139,28
946,citizens,2577,0.015139320522385868,115
947,Look,4730,0.027787732274305452,69
948,an interview,276,0.0016214406147374853,25
949,Wednesday,3588,0.021078727991587307,40
950,funding,10742,0.06310693870836981,203
951,absolutely,4979,0.029250553698470794,60
952,reallocated,78,0.00045823321720841976,13
953,defunding,589,0.0034602482684071697,40
954,treated,504,0.002960891557346712,47
955,remain,5801,0.03407962683366722,71
956,acts,3809,0.022377055440344497,100
957,rioting,203,0.0011925813217090924,37
958,the hands,1271,0.007466851526562839,31
959,law enforcement officers,277,0.0016273153995734907,51
960,looting,226,0.0013277013729372162,36
961,business,9627,0.056556553616223804,235
962,Ohio,2378,0.013970238340020797,30
963,spoke,1989,0.011684947038814704,64
964,Image,3638,0.021372467233387576,85
965,Ilhan Omar,537,0.0031547594569348897,19
966,far,19110,0.11226713821606284,274
967,housing,1835,0.010780230174069875,48
968,appreciate,14004,0.08227048684341937,79
969,Pelosi,7379,0.04335003730488371,153
970,pushing,9390,0.05516422961009053,44
971,Our campaign,9909,0.058213242939977324,143
972,stopping,1853,0.010885976301117971,37
973,continuing,2281,0.013400384210928274,32
974,the word,2214,0.013006773626915914,24
975,CHIP,10078,0.05920608157726223,101
976,politics,8637,0.05074051662857848,94
977,defund,1781,0.010462991792925584,122
978,secure,8064,0.04737426491754739,75
979,stands,6128,0.03600068147504098,85
980,the process,1038,0.006098026659773586,21
981,removed,629,0.003695239661847385,20
982,Minneapolis,869,0.005105188022488676,31
983,spreading,2303,0.013529629477320393,25
984,volunteer,15103,0.08872687537818927,92
985,trained,2704,0.015885418196558553,42
986,your friends,3198,0.01878756190554521,34
987,jail,282,0.0016566893237535175,35
988,money,32371,0.1901726599263302,156
989,hand,19398,0.11395907624883239,191
990,worse,3444,0.020232758975202533,82
991,quickly,3932,0.02309965397517316,34
992,another amount,15267,0.08969034009129416,85
993,endorsed,6130,0.03601243104471299,99
994,Bernie Sanders,2551,0.014986576116649728,30
995,Suite,7848,0.046105311392970236,82
996,oppose,2014,0.011831816659714839,59
997,represented,1676,0.009846139385145019,35
998,wrote,1763,0.010357245665877488,33
999,cost,10030,0.05892409190513397,108
1000,the lives,4496,0.026413032622680195,36
1001,passing,2716,0.015955915614590616,27
1002,a moment,5522,0.032440561864421714,87
1003,require,6832,0.04013652999958876,130
1004,the face,1796,0.010551113565465665,25
1005,decades,4771,0.028028598452581675,134
1006,Believe,444,0.0026084044671863893,22
1007,dignity,3494,0.020526498217002802,74
1008,accept,6581,0.038661959005751416,84
1009,ordered,479,0.0028140219364465777,31
1010,lives,12188,0.07160187758123358,190
1011,happened,1531,0.008994295583924238,53
1012,suppress,4432,0.02603704639317585,46
1013,Learn,2314,0.013594252110516453,24
1014,different,16799,0.0986905104600544,83
1015,writing,2192,0.012877528360523796,28
1016,honored,2616,0.015368437130990077,27
1017,risk,7182,0.04219270469219065,101
1018,institutions,827,0.00485844705937645,41
1019,directly,9783,0.057473020050640644,109
1020,ways,17464,0.10259724237599797,220
1021,lie,97617,0.5734788713363373,820
1022,attacks,13726,0.08063729665900986,100
1023,gave,2987,0.017547982305148074,22
1024,donated,8865,0.052079967571187706,22
1025,the record,1465,0.008606559784747884,28
1026,signed,3876,0.02277066602435686,95
1027,my support,684,0.004018352827827681,38
1028,Donald J. Trump,3469,0.020379628596102668,82
1029,the first time,2933,0.017230743924003783,28
1030,opposed,459,0.00269652623972647,22
1031,the bill,1226,0.007202486208942598,20
1032,a bill,1258,0.00739047932369477,33
1033,the crime,104,0.0006109776229445596,104
1034,one thing,2129,0.012507416915855456,27
1035,promote,4547,0.026712646649316468,112
1036,worst,2619,0.015386061485498094,53
1037,true,6497,0.03816847707952696,93
1038,tells,1181,0.006938120891322355,40
1039,recently,5956,0.03499021848324805,63
1040,New York City,720,0.004229845081923874,54
1041,CNN,2928,0.017201369999823756,19
1042,charged,458,0.0026906514548904648,50
1043,survivors,529,0.0031077611782468467,17
1044,denied,561,0.003295754292999019,25
1045,sick,2713,0.015938291260082598,37
1046,firsthand,1310,0.0076959681351670495,16
1047,broke,13071,0.07678931259142634,78
1048,Sri,918,0.00539305247945294,9
1049,Team,56645,0.33277718703552484,310
1050,staying,3505,0.02059112085019886,24
1051,healthy,5270,0.03096011608574836,46
1052,individually,440,0.0025849053278423676,17
1053,lower,4756,0.027940476680041595,65
1054,saving,9006,0.05290831223306446,89
1055,attacking,4242,0.024920837274334827,47
1056,a time,3810,0.0223829302251805,43
1057,the rise,331,0.0019445537807177811,28
1058,dangerous,6598,0.03876183034796351,156
1059,the safety,996,0.00585128569666136,46
1060,campaign,113755,0.6682861490197921,862
1061,buy,8324,0.048901708974908795,51
1062,incredibly,5556,0.0326403045488459,43
1063,pumped,964,0.005663292581909188,24
1064,her campaign,4344,0.025520065327607377,26
1065,the community,952,0.005592795163877123,34
1066,play,7562,0.04442512292987269,131
1067,influence,3023,0.017759474559244266,70
1068,elections,10262,0.060287041987087224,123
1069,ignored,1208,0.0070967400818945005,55
1070,William Barr,269,0.0015803171208854476,28
1071,illegally,220,0.0012924526639211838,27
1072,Trump’s crimes,30,0.00017624354508016143,30
1073,New York,9510,0.05586920379041117,224
1074,the fact,2280,0.01339450942609227,68
1075,abusing,227,0.0013335761577732215,62
1076,his power,846,0.004970067971260553,68
1077,our petition,2665,0.015656301587954342,44
1078,their power,693,0.004071225891351729,29
1079,Sean,1306,0.007672468995823028,28
1080,grew,2615,0.015362562346154072,25
1081,requires,3662,0.021513462069451705,65
1082,compassion,5058,0.02971466170051522,66
1083,messages,5554,0.032628554979173885,50
1084,the end,8248,0.048455225327372384,83
1085,slavery,241,0.001415823145477297,17
1086,PO Box,54431,0.3197704134086089,329
1087,error,24722,0.14523643071572503,133
1088,the interests,560,0.0032898795081630137,18
1089,Another Amount,8209,0.048226108718768174,27
1090,community,16759,0.09845551906661419,249
1091,SIGN,7328,0.043050423278247436,131
1092,THE PETITION,1304,0.007660719426151017,20
1093,literally,1330,0.007813463831887158,29
1094,Iowa,4379,0.025725682796867565,17
1095,puts,3545,0.02082611224363908,33
1096,prison,555,0.0032605055839829864,80
1097,small,13410,0.07878086465083216,166
1098,the rest,3437,0.020191635481350497,68
1099,their lives,1624,0.009540650573672739,48
1100,this month,3921,0.0230350313419771,40
1101,Senate Republicans,1693,0.00994601072735711,24
1102,our House Majority,2814,0.016531644528519143,43
1103,easy,9356,0.05496448692566635,42
1104,hit,33950,0.1994489451823827,297
1105,overturn,7501,0.04406676105487636,25
1106,deadline,30306,0.1780412292399791,75
1107,the future,12921,0.07590809486602554,85
1108,this seat,13154,0.07727691973281478,46
1109,Justice,6523,0.0383212214852631,161
1110,the officers,95,0.0005581045594205112,30
1111,an important way,7403,0.043491032140947836,68
1112,donations,17935,0.10536426603375651,63
1113,interested,3077,0.018076712940388557,35
1114,disgusted,329,0.0019328042110457705,35
1115,Antifa,240,0.0014099483606412914,25
1116,the soul,6665,0.039155440931975864,37
1117,stake,15243,0.08954934525523003,121
1118,emailing,3428,0.020138762417826448,35
1119,missed,2050,0.012043308913811031,30
1120,the Republican National Convention,731,0.0042944677151199335,26
1121,President Donald J. Trump,1327,0.007795839477379141,32
1122,Adam Schiff,672,0.003947855409795616,60
1123,conservative values,1546,0.009082417356464319,49
1124,conservatives,3344,0.019645280491601996,80
1125,transforming,7923,0.046545920255670635,25
1126,Defund,320,0.001879931147521722,41
1127,our Military,67,0.0003936105840123606,52
1128,the United States of America,297,0.0017448110962935983,24
1129,our first television ad,87,0.0005111062807324682,21
1130,a few bucks,439,0.0025790305430063625,23
1131,Our message,160,0.000939965573760861,22
1132,Conservatives,832,0.004887820983556477,39
1133,family values,73,0.00042885929302839286,22
1134,our second amendment rights,54,0.00031723838114429057,22
1135,rioters,285,0.0016743136782615337,61
1136,looters,122,0.0007167237499926565,33
1137,ANTIFA members,21,0.000123370481556113,21
1138,our nation’s cities,21,0.000123370481556113,21
1139,monuments,170,0.0009987134221209149,31
1140,our cities,299,0.001756560665965609,57
1141,ease,112835,0.6628813469706673,921
1142,our border control,21,0.000123370481556113,21
1143,decrease,216,0.0012689535245771623,32
1144,our great nation’s principles,21,0.000123370481556113,21
1145,values,15821,0.09294497089044114,271
1146,the radical left,1081,0.006350642407721817,51
1147,VICTORY,913,0.005363678555272913,23
1148,Jim Jordan,694,0.0040771006761877344,51
1149,the Republican Party,3128,0.018376326967024834,48
1150,African Americans,2634,0.015474183258038175,82
1151,automatically,1845,0.010838978022429929,25
1152,dedicated,32578,0.19138874038738332,185
1153,every American,2239,0.013153643247816049,26
1154,BREAKING,7878,0.0462815549380504,88
1155,the only way,5382,0.03161809198738096,82
1156,HELP,5469,0.03212919826811343,55
1157,despite,2150,0.01263078739741157,44
1158,cause,56285,0.3306622644945629,574
1159,Send,1505,0.0088415511781881,39
1160,unacceptable,1083,0.0063623919773938276,24
1161,our president,1435,0.008430316239667722,54
1162,an individual,885,0.005199184579864762,30
1163,designated,900,0.0052873063524048435,23
1164,federal government contractors,1259,0.0073963541085307755,29
1165,foreign nationals,2010,0.011808317520370816,35
1166,prohibited,2806,0.0164846462498311,45
1167,probably,1228,0.007214235778614608,22
1168,calls,8907,0.05232670853429993,167
1169,pursue,386,0.0022676669466980773,19
1170,little,5957,0.034996093268084054,58
1171,agreed,1634,0.009599398422032793,32
1172,shall,593,0.003483747407751191,26
1173,course,3527,0.02072036611659098,54
1174,seriously,2563,0.015057073534681793,35
1175,raising,46667,0.27415858394186315,172
1176,school,10548,0.06196723045018476,135
1177,Los Angeles,975,0.005727915215105247,60
1178,My father,512,0.003007889836034755,29
1179,leave,5369,0.031541719784512895,48
1180,ends,34324,0.2016461147110487,291
1181,met,11146,0.06548035178211598,194
1182,apart,4052,0.023804628155493807,85
1183,CONGRESS,13351,0.07843425234550784,203
1184,exposing,442,0.0025966548975143787,34
1185,war crimes,36,0.00021149225409619374,36
1186,intended,2106,0.012372296864627333,27
1187,opening,2815,0.016537519313355148,41
1188,accused,327,0.0019210546413737596,49
1189,court,2914,0.01711912301211968,76
1190,Watch,2156,0.012666036106427601,68
1191,protected,1815,0.010662734477349767,32
1192,The truth,1308,0.007684218565495038,21
1193,charitable contributions,1434,0.008424441454831717,33
1194,Federal law,2509,0.014739835153537502,38
1195,report,12911,0.07584934701766548,139
1196,the name,3118,0.01831757911866478,46
1197,mailing address,8235,0.048378853124504316,116
1198,occupation,2750,0.0161556582990148,42
1199,employer,3273,0.019228170768245612,55
1200,each individual,866,0.00508756366798066,49
1201,whose contributions,2169,0.012742408309295673,26
1202,excess,1930,0.011338334733490387,31
1203,an election cycle,1529,0.008982546014252229,27
1204,a message,2605,0.015303814497794018,58
1205,Virginia,2548,0.014968951762141712,42
1206,District,17520,0.10292623032681428,218
1207,President Donald Trump,940,0.005522297745845058,71
1208,states,11368,0.06678455401570918,87
1209,a president,1349,0.007925084743771259,25
1210,refusing,1507,0.00885330074786011,20
1211,the facts,1002,0.005886534405677392,25
1212,our campaigns,3369,0.01979215011250213,63
1213,STAND,1745,0.01025149953882939,22
1214,submit,3503,0.02057937128052685,65
1215,exceed,2332,0.01369999823756455,28
1216,RSVP,4206,0.024709345020238634,27
1217,ultimately,7554,0.04437812465118465,29
1218,visited,725,0.004259219006103901,21
1219,terrified,1566,0.009199913053184428,18
1220,Jon Ossoff,1504,0.008835676393352093,45
1221,tomorrow,12533,0.07362867834965545,51
1222,Jon,5793,0.034032628554979176,75
1223,EXPRESS,762,0.0044765860450361,10
1224,Senate P.O. Box 450326,0,0.0,0
1225,Atlanta,1614,0.009481902725312685,54
1226,JON OSSOFF,1168,0.006861748688454286,45
1227,[[EMAIL_REDACTED]] | Change,10565,0.062067101792396856,157
1228,Your grassroots support,7938,0.04663404202821072,139
1229,a federal crime,70,0.0004112349385203767,70
1230,friend,23533,0.13825131154571463,254
1231,efforts,28005,0.1645233493323307,197
1232,Georgians,950,0.005581045594205112,37
1233,Coronavirus,2497,0.014669337735505437,44
1234,bought,968,0.005686791721253209,20
1235,U.S. Senate,18849,0.11073381937386544,123
1236,a wave,5359,0.03148297193615284,97
1237,poverty,1131,0.006644381649522086,82
1238,higher,3958,0.023252398380909298,46
1239,END,19406,0.11400607452752043,142
1240,P.S.,7041,0.04136436003031389,92
1241,My opponent,2135,0.01254266562487149,28
1242,caught,858,0.0050405653892926176,22
1243,the abuse,90,0.0005287306352404843,33
1244,runs,3880,0.02279416516370088,52
1245,the U.S. Senate,13453,0.0790334803987804,87
1246,Senator,24732,0.14529517856408508,205
1247,exposed,671,0.003941980624959611,41
1248,rip,20587,0.12094419541884278,196
1249,check,19939,0.1171373348451113,155
1250,emailed,2500,0.014686962090013453,14
1251,explain,3750,0.02203044313502018,47
1252,corrupt,6881,0.04042439445655303,244
1253,a man,801,0.00470570265364031,30
1254,violated,396,0.002326414795058131,29
1255,vulnerable,8316,0.04885471069622075,81
1256,high,20310,0.1193168800192693,364
1257,your family,4110,0.024145365675982116,33
1258,death,2754,0.01617915743835882,121
1259,American jobs,173,0.001016337776628931,21
1260,RUSH,8931,0.05246770337036406,58
1261,an event,615,0.0036129926741433095,21
1262,Eric,1532,0.009000170368760245,31
1263,RIGHT,6147,0.03611230238692508,73
1264,rush,21087,0.12388158783684547,119
1265,my friend,1783,0.010474741362597595,74
1266,gotten,1919,0.011273712100294327,34
1267,WIN,12032,0.07068541114681674,88
1268,blue,22600,0.1327701372937216,115
1269,gun violence,6044,0.03550719954881652,39
1270,securing,911,0.005351928985600903,35
1271,stepping,4651,0.027323624272261027,23
1272,a right,1968,0.01156157655725859,29
1273,ANY AMOUNT,3509,0.020614619989542882,49
1274,steal,2487,0.014610589887145383,42
1275,endorse,20990,0.12331173370775296,198
1276,works,7608,0.04469536303232894,111
1277,leads,957,0.00562216908805715,20
1278,investigate,428,0.0025144079098103032,55
1279,fail,11580,0.06803000840094231,193
1280,reading,6491,0.03813322837051093,69
1281,the door,1440,0.008459690163847748,23
1282,murder,904,0.005310805491748865,96
1283,ensuring,2977,0.01748923445678802,23
1284,small businesses,3259,0.019145923780541536,46
1285,looked,767,0.004505959969216128,22
1286,totally,919,0.005398927264288945,47
1287,donors,26023,0.15287952578736805,161
1288,strengthen,1849,0.01086247716177395,55
1289,progress,19144,0.11246688090048702,217
1290,the NRA,3820,0.022441678073540555,15
1291,science,10238,0.06014604715102309,89
1292,Immediately,390,0.0022911660860420987,6
1293,told,5036,0.029585416434123102,62
1294,Listen,3604,0.021172724548963393,39
1295,fights,3826,0.02247692678255659,34
1296,faced,2472,0.014522468114605303,29
1297,promise,8164,0.047961743401147935,108
1298,define,720,0.004229845081923874,25
1299,a world,2912,0.01710737344244767,42
1300,closer,5842,0.03432049301194344,47
1301,Roger Stone,163,0.0009575899282688771,45
1302,contributing,2732,0.0160499121719667,25
1303,lawlessness,204,0.0011984561065450977,33
1304,defeating,4674,0.027458744323489152,36
1305,the Postal Service,1944,0.011420581721194461,12
1306,weak,1544,0.00907066778679231,48
1307,the Trump Make America Great Again Committee,2753,0.016173282653522816,34
1308,the Republican National Committee,2845,0.01671376285843531,34
1309,apply,2424,0.014240478442477044,45
1310,the number,5489,0.03224669396483354,82
1311,Sponsor,1364,0.00801320651631134,18
1312,our grassroots supporters,4854,0.028516205593970122,41
1313,the efforts,3060,0.017976841598176467,39
1314,glad,5423,0.03185895816565718,71
1315,Team Trump,1855,0.010897725870789982,45
1316,misinformation,1797,0.01055698835030167,20
1317,Make America Great Again,3079,0.01808846251006057,35
1318,Trump Make America Great Again Committee,2753,0.016173282653522816,34
1319,a joint fundraising committee,3501,0.02056762171085484,41
1320,composed,2827,0.016608016731387214,44
1321,"President, Inc.",2808,0.01649639581950311,33
1322,our Country,396,0.002326414795058131,26
1323,the Radical Left,1061,0.00623314671100171,30
1324,open borders,303,0.0017800598053096305,31
1325,our Nation,619,0.003636491813487331,29
1326,our lives,2067,0.012143180256023123,28
1327,the NEXT HOUR,746,0.004382589487660014,24
1328,600%-MATCHED,928,0.0054518003278129935,20
1329,FIGHT,2746,0.016132159159670777,36
1330,your gift,2795,0.01642002361663504,24
1331,Fight,3918,0.023017406987469083,64
1332,our borders,369,0.0021677956044859857,28
1333,the Left,3294,0.019351541249801724,42
1334,single,17720,0.10410118729401535,152
1335,WEAK,62,0.0003642366598323336,21
1336,the clock,6963,0.04090612681310547,97
1337,LAW,497,0.0029197680634946745,62
1338,ORDER,1279,0.007513849805250883,40
1339,a list,1458,0.008565436290895847,22
1340,the list,1866,0.010962348503986042,18
1341,depends,9319,0.05474711988673415,21
1342,the job,2819,0.01656101845269917,26
1343,My team,2059,0.01209618197733508,32
1344,activated,3462,0.02033850510225063,67
1345,accomplished,1498,0.008800427684336061,22
1346,afraid,2261,0.013282888514208167,34
1347,forever,2198,0.012912777069539827,24
1348,The President,1325,0.00778408990770713,66
1349,trusts,209,0.0012278300307251248,28
1350,his administration,1095,0.006432889395425892,31
1351,picks,521,0.0030607628995588036,16
1352,announces,157,0.0009223412192528449,25
1353,endorses,429,0.0025202826946463088,22
1354,burn,1483,0.00871230591179598,76
1355,Vice President Pence,391,0.002297040870878104,22
1356,tirelessly,1544,0.00907066778679231,24
1357,LOVE,809,0.004752700932328354,31
1358,a statement,384,0.0022559173770260663,21
1359,delivering,1444,0.00848318930319177,21
1360,Law,2502,0.014698711659685464,89
1361,the nation,8049,0.047286143145007314,90
1362,NEED,6088,0.035765690081600764,92
1363,a stand,1817,0.010674484047021779,34
1364,grassroots activists,3827,0.022482801567392595,31
1365,a country,6606,0.03880882862665155,44
1366,TRUMP,7048,0.041405483524165926,106
1367,this bill,802,0.004711577438476316,28
1368,Your signature,156,0.0009164664344168395,23
1369,End Citizens United,8994,0.0528378148150324,13
1370,Citizens United,9299,0.05462962419001404,16
1371,only our most urgent emails,9320,0.05475299467157015,46
1372,DEMAND,2488,0.014616464671981388,102
1373,RESIGN,266,0.0015626927663774314,12
1374,Attorney General William Barr,195,0.0011455830430210493,19
1375,the rule,1043,0.006127400583953613,45
1376,this petition,779,0.004576457387248192,24
1377,PENDING,1552,0.009117666065480352,21
1378,Our entire team,8614,0.05060539657735035,44
1379,our Democracy,10124,0.05947632167971848,102
1380,a SuperPAC,9313,0.05471187117771811,42
1381,giving,12902,0.07579647395414144,81
1382,fuel,13730,0.08066079579835389,101
1383,our entire operation,8167,0.04797936775565595,39
1384,our emails,39449,0.2317543869955763,298
1385,D.C.,10964,0.064411140941963,69
1386,([[URL REDACTED,13555,0.07963270845205295,53
1387,NOT AUTHORIZED,15602,0.09165839301135596,84
1388,our goal,15732,0.09242211504003665,44
1389,End,14625,0.0859187282265787,139
